experiment_identifier,experiment_description,ParameterSet_id,ml_classifier_name,implementation_language,outcome_type,app_file_path,full_dataset_name,host_name,user_id,compute_manufacture,computer_name,os,system_type,cpu_gpu,cpu_gpu_model,processing_unit_speed,ram,number_of_cores_used,mean_core_percent_usage,start_date_time,end_date_time,running_time1(average sec),running_time2(sec),mean_fit_time,std_fit_time,mean_score_time,std_score_time,split_random_seed,split0_test_auc,split1_test_auc,split2_test_auc,split3_test_auc,split4_test_auc,mean_test_auc,combined_test_auc,std_test_auc,rank_test_auc,percent_auc_diff,rank_diff,split0_train_auc,split1_train_auc,split2_train_auc,split3_train_auc,split4_train_auc,mean_train_auc,std_train_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,feature_importance,L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti
'comparative','stage-3-6 15Year I 240 experiment',1.0,'deep learning keras',"'python 3.7.0 (default, Jun 28 2018, 08:04:48) [MSC v.1912 64 bit (AMD64)]'",'ar-I-240','C:\\Users\\YIZ209\\PycharmProjects\\keras\\DNM-RF\\stage3-6/15year_stage3-6.py','/LSM-15Year-I-240.txt','DBMI-YIZ209-DT','YIZ209','Dell Inc.','DBMI-YIZ209-DT','Windows-10-10.0.19041-SP0','AMD64','CPU','Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz','2.9000 GHz','63.72G',3,'2.6666666666666665%','12/21/2022 10:07:24','12/21/2022 10:30:37',1392.698651,8.566954851150513,1.6477700000000002,0.043458,0.065621,0.015309,123.0,0.886374,0.75325,0.8489469999999999,0.861049,0.89925,0.849691,0.0,0.051447,1,0.082761,1,0.914977,0.9340379999999999,0.924507,0.918248,0.9082950000000001,0.920013,0.008748,0.910891,0.90099,0.931373,0.894231,0.93,0.9134690000000001,0.015006,1,0.9389790000000001,0.940299,0.934673,0.936118,0.931507,0.936315,0.003125,,0.022,0.012,168,0.0007,0.09,111,relu,relu,17,glorot_normal,0.05,binary_crossentropy,3,0.1,"(755, 668, 1)",sigmoid,adam
'comparative','stage-3-6 15Year I 240 experiment',1.0,'deep learning keras',"'python 3.7.0 (default, Jun 28 2018, 08:04:48) [MSC v.1912 64 bit (AMD64)]'",'ar-I-240','C:\\Users\\YIZ209\\PycharmProjects\\keras\\DNM-RF\\stage3-6/15year_stage3-6.py','/LSM-15Year-I-240.txt','DBMI-YIZ209-DT','YIZ209','Dell Inc.','DBMI-YIZ209-DT','Windows-10-10.0.19041-SP0','AMD64','CPU','Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz','2.9000 GHz','63.72G',3,'2.6666666666666665%','12/21/2022 10:07:24','12/21/2022 10:30:37',1392.698651,32.753347873687744,6.481725,0.085036,0.068944,0.007508,123.0,0.884581,0.7716270000000001,0.845809,0.848498,0.9142459999999999,0.85285,0.0,0.047811,1,0.105396,1,0.935567,0.9539479999999999,0.94657,0.9426049999999999,0.9349930000000001,0.942737,0.007095999999999999,0.915423,0.8888889999999999,0.9215690000000001,0.8944719999999999,0.926108,0.909264,0.014875999999999999,1,0.9425,0.937423,0.9364879999999999,0.948167,0.938119,0.9405389999999999,0.004336,,0.02,0.013,108,0.0008,0.01,162,relu,relu,17,he_uniform,0.02,binary_crossentropy,3,0.2,"(782, 605, 761, 762, 1)",sigmoid,SGD
'comparative','stage-3-6 15Year I 240 experiment',1.0,'deep learning keras',"'python 3.7.0 (default, Jun 28 2018, 08:04:48) [MSC v.1912 64 bit (AMD64)]'",'ar-I-240','C:\\Users\\YIZ209\\PycharmProjects\\keras\\DNM-RF\\stage3-6/15year_stage3-6.py','/LSM-15Year-I-240.txt','DBMI-YIZ209-DT','YIZ209','Dell Inc.','DBMI-YIZ209-DT','Windows-10-10.0.19041-SP0','AMD64','CPU','Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz','2.9000 GHz','63.72G',3,'2.6666666666666665%','12/21/2022 10:07:24','12/21/2022 10:30:37',1392.698651,16.76215410232544,3.286805,0.015366,0.065626,0.006255,123.0,0.881892,0.802555,0.846706,0.818915,0.901125,0.850153,0.0,0.037009,1,0.152922,1,0.977342,0.9849889999999999,0.982143,0.9796219999999999,0.976706,0.9801610000000001,0.0030789999999999997,0.8900520000000001,0.8855719999999999,0.9215690000000001,0.86911,0.90625,0.894491,0.01798,1,0.9581149999999999,0.9717950000000001,0.9669209999999999,0.956522,0.9598969999999999,0.96265,0.005789,,0.0,0.016,421,0.0007,0.02,154,relu,relu,17,he_normal,0.07,binary_crossentropy,3,0.9,"(766, 745, 675, 1)",sigmoid,Adagrad
'comparative','stage-3-6 15Year I 240 experiment',1.0,'deep learning keras',"'python 3.7.0 (default, Jun 28 2018, 08:04:48) [MSC v.1912 64 bit (AMD64)]'",'ar-I-240','C:\\Users\\YIZ209\\PycharmProjects\\keras\\DNM-RF\\stage3-6/15year_stage3-6.py','/LSM-15Year-I-240.txt','DBMI-YIZ209-DT','YIZ209','Dell Inc.','DBMI-YIZ209-DT','Windows-10-10.0.19041-SP0','AMD64','CPU','Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz','2.9000 GHz','63.72G',3,'2.6666666666666665%','12/21/2022 10:07:24','12/21/2022 10:30:37',1392.698651,19.21616697311401,3.777601,0.079733,0.06563300000000001,0.0062380000000000005,123.0,0.888167,0.782385,0.8431200000000001,0.8256389999999999,0.8772260000000001,0.84325,0.0,0.037918,1,0.110622,1,0.950974,0.9346469999999999,0.939575,0.948694,0.9087709999999999,0.9365319999999999,0.015099000000000001,0.9128209999999999,0.900474,0.9215690000000001,0.897561,0.9126209999999999,0.9090030000000001,0.008829,1,0.956633,0.920333,0.932826,0.9434889999999999,0.9202899999999999,0.9347139999999999,0.013969999999999998,,0.005,0.01,409,0.0007,0.03,143,relu,relu,17,he_normal,0.07,binary_crossentropy,3,0.7,"(566, 621, 757, 735, 1)",sigmoid,SGD
'comparative','stage-3-6 15Year I 240 experiment',1.0,'deep learning keras',"'python 3.7.0 (default, Jun 28 2018, 08:04:48) [MSC v.1912 64 bit (AMD64)]'",'ar-I-240','C:\\Users\\YIZ209\\PycharmProjects\\keras\\DNM-RF\\stage3-6/15year_stage3-6.py','/LSM-15Year-I-240.txt','DBMI-YIZ209-DT','YIZ209','Dell Inc.','DBMI-YIZ209-DT','Windows-10-10.0.19041-SP0','AMD64','CPU','Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz','2.9000 GHz','63.72G',3,'2.6666666666666665%','12/21/2022 10:07:24','12/21/2022 10:30:37',1392.698651,4.934291362762451,0.9328489999999999,0.011618999999999999,0.05401,0.008498,123.0,0.8724790000000001,0.7433890000000001,0.772748,0.82519,0.8940959999999999,0.821459,0.0,0.057174,1,0.027645999999999997,1,0.8404889999999999,0.878866,0.8174779999999999,0.8506290000000001,0.833385,0.8441690000000001,0.020435,0.894009,0.8899520000000001,0.894009,0.894009,0.898148,0.894019,0.002589,1,0.89504,0.9200969999999999,0.89504,0.89504,0.894009,0.8998450000000001,0.010134,,0.022,0.014,103,0.0003,0.08,149,relu,relu,17,glorot_normal,0.08,binary_crossentropy,3,0.9,"(578, 1)",sigmoid,SGD
'comparative','stage-3-6 15Year I 240 experiment',1.0,'deep learning keras',"'python 3.7.0 (default, Jun 28 2018, 08:04:48) [MSC v.1912 64 bit (AMD64)]'",'ar-I-240','C:\\Users\\YIZ209\\PycharmProjects\\keras\\DNM-RF\\stage3-6/15year_stage3-6.py','/LSM-15Year-I-240.txt','DBMI-YIZ209-DT','YIZ209','Dell Inc.','DBMI-YIZ209-DT','Windows-10-10.0.19041-SP0','AMD64','CPU','Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz','2.9000 GHz','63.72G',3,'2.6666666666666665%','12/21/2022 10:07:24','12/21/2022 10:30:37',1392.698651,20.107886791229244,3.952839,0.097221,0.068738,0.007661,123.0,0.892201,0.7608699999999999,0.8346030000000001,0.845809,0.9123709999999999,0.849065,0.0,0.052642999999999995,1,0.14865699999999998,1,0.972216,0.980316,0.977994,0.978843,0.9670549999999999,0.9752850000000001,0.004949,0.9015540000000001,0.867347,0.927536,0.8910889999999999,0.930693,0.9035989999999999,0.023582,1,0.950131,0.966667,0.9623120000000001,0.9507389999999999,0.95,0.9559700000000001,0.007095000000000001,,0.001,0.012,299,0.0008,0.07,167,relu,relu,17,he_normal,0.04,binary_crossentropy,3,0.1,"(734, 615, 645, 717, 1)",sigmoid,SGD
'comparative','stage-3-6 15Year I 240 experiment',1.0,'deep learning keras',"'python 3.7.0 (default, Jun 28 2018, 08:04:48) [MSC v.1912 64 bit (AMD64)]'",'ar-I-240','C:\\Users\\YIZ209\\PycharmProjects\\keras\\DNM-RF\\stage3-6/15year_stage3-6.py','/LSM-15Year-I-240.txt','DBMI-YIZ209-DT','YIZ209','Dell Inc.','DBMI-YIZ209-DT','Windows-10-10.0.19041-SP0','AMD64','CPU','Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz','2.9000 GHz','63.72G',3,'2.6666666666666665%','12/21/2022 10:07:24','12/21/2022 10:30:37',1392.698651,15.94439148902893,3.121323,0.036914999999999996,0.06755499999999999,0.0064659999999999995,123.0,0.87965,0.767145,0.8126399999999999,0.853877,0.8936270000000001,0.8413010000000001,0.0,0.046222000000000006,1,0.036236000000000004,1,0.8608809999999999,0.888835,0.8859040000000001,0.873088,0.8502209999999999,0.8717860000000001,0.014667,0.907317,0.8910889999999999,0.897561,0.9126209999999999,0.935961,0.9088649999999999,0.015429,1,0.9208280000000001,0.9151729999999999,0.925926,0.9195120000000001,0.9060239999999999,0.917493,0.006682,,0.015,0.018,252,0.0008,0.04,121,relu,relu,17,glorot_normal,0.02,binary_crossentropy,3,0.9,"(648, 756, 661, 697, 1)",sigmoid,SGD
'comparative','stage-3-6 15Year I 240 experiment',1.0,'deep learning keras',"'python 3.7.0 (default, Jun 28 2018, 08:04:48) [MSC v.1912 64 bit (AMD64)]'",'ar-I-240','C:\\Users\\YIZ209\\PycharmProjects\\keras\\DNM-RF\\stage3-6/15year_stage3-6.py','/LSM-15Year-I-240.txt','DBMI-YIZ209-DT','YIZ209','Dell Inc.','DBMI-YIZ209-DT','Windows-10-10.0.19041-SP0','AMD64','CPU','Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz','2.9000 GHz','63.72G',3,'2.6666666666666665%','12/21/2022 10:07:24','12/21/2022 10:30:37',1392.698651,18.447357892990112,3.6050989999999996,0.086806,0.084373,0.043745,123.0,0.873375,0.7666970000000001,0.790229,0.750784,0.885661,0.813228,0.0,0.05556900000000001,1,0.226386,1,0.998131,0.998556,0.997635,0.9985700000000001,0.993767,0.997332,0.0018149999999999998,0.8979590000000001,0.8617020000000001,0.905473,0.881188,0.94,0.897193,0.026106,1,0.989691,0.9896370000000001,0.990944,0.9797469999999999,0.9685530000000001,0.983715,0.008587000000000001,,0.015,0.012,367,0.0001,0.06,176,relu,relu,17,glorot_normal,0.06,binary_crossentropy,3,0.3,"(655, 712, 744, 1)",sigmoid,adam
'comparative','stage-3-6 15Year I 240 experiment',1.0,'deep learning keras',"'python 3.7.0 (default, Jun 28 2018, 08:04:48) [MSC v.1912 64 bit (AMD64)]'",'ar-I-240','C:\\Users\\YIZ209\\PycharmProjects\\keras\\DNM-RF\\stage3-6/15year_stage3-6.py','/LSM-15Year-I-240.txt','DBMI-YIZ209-DT','YIZ209','Dell Inc.','DBMI-YIZ209-DT','Windows-10-10.0.19041-SP0','AMD64','CPU','Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz','2.9000 GHz','63.72G',3,'2.6666666666666665%','12/21/2022 10:07:24','12/21/2022 10:30:37',1392.698651,4.277393579483031,0.8009470000000001,0.012134,0.054530999999999996,0.006984999999999999,123.0,0.827656,0.696325,0.793814,0.767369,0.862231,0.789357,0.0,0.056423,1,0.027341000000000004,1,0.809505,0.8374020000000001,0.818894,0.8019850000000001,0.786909,0.8109390000000001,0.016872,0.894009,0.894009,0.894009,0.894009,0.898148,0.8948309999999999,0.0016510000000000001,1,0.89504,0.89504,0.89504,0.89504,0.894009,0.894834,0.000412,,0.01,0.03,459,0.0002,0.06,148,relu,relu,17,glorot_uniform,0.07,binary_crossentropy,3,0.6,"(602, 1)",sigmoid,Adagrad
'comparative','stage-3-6 15Year I 240 experiment',1.0,'deep learning keras',"'python 3.7.0 (default, Jun 28 2018, 08:04:48) [MSC v.1912 64 bit (AMD64)]'",'ar-I-240','C:\\Users\\YIZ209\\PycharmProjects\\keras\\DNM-RF\\stage3-6/15year_stage3-6.py','/LSM-15Year-I-240.txt','DBMI-YIZ209-DT','YIZ209','Dell Inc.','DBMI-YIZ209-DT','Windows-10-10.0.19041-SP0','AMD64','CPU','Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz','2.9000 GHz','63.72G',3,'2.6666666666666665%','12/21/2022 10:07:24','12/21/2022 10:30:37',1392.698651,3.747768640518188,0.692693,0.061648,0.056861,0.0069819999999999995,123.0,0.848723,0.751905,0.810399,0.808606,0.8776940000000001,0.819368,0.0,0.042421,1,0.029911,1,0.829274,0.8675370000000001,0.850218,0.8409,0.8314520000000001,0.8438760000000001,0.013975,0.894009,0.88785,0.894009,0.894009,0.898148,0.893598,0.0032909999999999997,1,0.89504,0.9023260000000001,0.89504,0.89504,0.894009,0.896291,0.0030440000000000003,,0.007,0.014,171,0.0009,0.09,104,relu,relu,17,glorot_normal,0.08,binary_crossentropy,3,0.9,"(611, 1)",sigmoid,Adagrad
