mean_test_auc,percent_auc_diff,mean_train_auc,L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti
0.849691,0.082761,0.920013,0.022000000000000002,0.012,168,0.0007,0.09,111,relu,relu,17,glorot_normal,0.05,binary_crossentropy,3,0.1,"(755, 668, 1)",sigmoid,adam
0.85285,0.105396,0.942737,0.02,0.013000000000000001,108,0.0008,0.01,162,relu,relu,17,he_uniform,0.02,binary_crossentropy,3,0.2,"(782, 605, 761, 762, 1)",sigmoid,SGD
0.850153,0.152922,0.980161,0.0,0.016,421,0.0007,0.02,154,relu,relu,17,he_normal,0.07,binary_crossentropy,3,0.9,"(766, 745, 675, 1)",sigmoid,Adagrad
0.84325,0.110622,0.936532,0.005,0.01,409,0.0007,0.03,143,relu,relu,17,he_normal,0.07,binary_crossentropy,3,0.7,"(566, 621, 757, 735, 1)",sigmoid,SGD
0.821459,0.027646,0.8441690000000001,0.022000000000000002,0.013999999999999999,103,0.0003,0.08,149,relu,relu,17,glorot_normal,0.08,binary_crossentropy,3,0.9,"(578, 1)",sigmoid,SGD
0.849065,0.14865699999999998,0.975285,0.001,0.012,299,0.0008,0.07,167,relu,relu,17,he_normal,0.04,binary_crossentropy,3,0.1,"(734, 615, 645, 717, 1)",sigmoid,SGD
0.8413010000000001,0.036236,0.8717860000000001,0.015,0.018000000000000002,252,0.0008,0.04,121,relu,relu,17,glorot_normal,0.02,binary_crossentropy,3,0.9,"(648, 756, 661, 697, 1)",sigmoid,SGD
0.813228,0.226386,0.997332,0.015,0.012,367,0.0001,0.06,176,relu,relu,17,glorot_normal,0.06,binary_crossentropy,3,0.3,"(655, 712, 744, 1)",sigmoid,adam
0.819368,0.029911,0.8438760000000001,0.006999999999999999,0.013999999999999999,171,0.0009,0.09,104,relu,relu,17,glorot_normal,0.08,binary_crossentropy,3,0.9,"(611, 1)",sigmoid,Adagrad
0.820652,0.055371,0.866092,0.023,0.016,496,0.0001,0.05,164,relu,relu,17,he_normal,0.05,binary_crossentropy,3,0.2,"(691, 662, 615, 724, 1)",sigmoid,Adagrad
0.814789,0.227031,0.999771,0.027999999999999997,0.018000000000000002,176,0.0006,0.0,104,relu,relu,17,he_uniform,0.01,binary_crossentropy,3,0.9,"(687, 686, 715, 585, 1)",sigmoid,adam
0.830227,0.028893,0.8542139999999999,0.006999999999999999,0.024,377,0.0005,0.04,132,relu,relu,17,glorot_normal,0.05,binary_crossentropy,3,0.6,"(614, 706, 1)",sigmoid,Adagrad
0.837383,0.02196,0.855772,0.027999999999999997,0.003,323,0.0004,0.0,156,relu,relu,17,glorot_normal,0.05,binary_crossentropy,3,0.9,"(721, 576, 575, 602, 1)",sigmoid,SGD
0.834866,0.162427,0.97047,0.003,0.004,437,0.0006,0.1,131,relu,relu,17,he_uniform,0.04,binary_crossentropy,3,0.1,"(721, 563, 672, 681, 1)",sigmoid,Adagrad
0.833791,0.19434,0.995829,0.004,0.021,438,0.0005,0.01,129,relu,relu,17,he_uniform,0.09,binary_crossentropy,3,0.9,"(668, 733, 1)",sigmoid,adam
0.824356,0.035311,0.8534649999999999,0.026000000000000002,0.022000000000000002,435,0.0009,0.01,169,relu,relu,17,glorot_uniform,0.09,binary_crossentropy,3,0.6,"(660, 762, 563, 660, 1)",sigmoid,SGD
0.839841,0.031224,0.866064,0.009000000000000001,0.027999999999999997,246,0.0005,0.07,152,relu,relu,17,glorot_uniform,0.08,binary_crossentropy,3,0.9,"(654, 618, 1)",sigmoid,Adagrad
0.818155,0.049285,0.858477,0.0,0.013999999999999999,255,0.0009,0.1,147,relu,relu,17,glorot_normal,0.01,binary_crossentropy,3,0.5,"(602, 578, 793, 1)",sigmoid,Adagrad
0.8193379999999999,0.032886,0.846283,0.021,0.01,374,0.0006,0.06,137,relu,relu,17,he_uniform,0.05,binary_crossentropy,3,0.5,"(787, 583, 698, 635, 1)",sigmoid,Adagrad
0.832257,0.200579,0.999191,0.026000000000000002,0.018000000000000002,174,0.0006,0.06,105,relu,relu,17,he_normal,0.08,binary_crossentropy,3,0.5,"(589, 745, 1)",sigmoid,adam
0.800182,0.022816,0.818439,0.01,0.006,375,0.0009,0.08,107,relu,relu,17,glorot_normal,0.08,binary_crossentropy,3,0.3,"(781, 1)",sigmoid,Adagrad
0.81855,0.025401,0.839342,0.003,0.017,279,0.0004,0.03,117,relu,relu,17,glorot_uniform,0.07,binary_crossentropy,3,0.5,"(647, 1)",sigmoid,SGD
0.823736,0.213553,0.999647,0.01,0.002,494,0.0002,0.08,168,relu,relu,17,glorot_uniform,0.04,binary_crossentropy,3,0.7,"(611, 746, 562, 553, 1)",sigmoid,adam
0.8036,0.011367,0.8127340000000001,0.021,0.0,150,0.0007,0.08,106,relu,relu,17,glorot_normal,0.03,binary_crossentropy,3,0.3,"(620, 689, 1)",sigmoid,Adagrad
0.826167,0.200044,0.991437,0.013000000000000001,0.011000000000000001,342,0.0,0.06,113,relu,relu,17,glorot_uniform,0.02,binary_crossentropy,3,0.5,"(725, 554, 597, 1)",sigmoid,adam
0.810956,0.020682,0.827728,0.027999999999999997,0.013000000000000001,470,0.0005,0.06,158,relu,relu,17,he_normal,0.03,binary_crossentropy,3,0.2,"(615, 1)",sigmoid,Adagrad
0.837659,0.189102,0.996061,0.016,0.011000000000000001,139,0.0,0.09,164,relu,relu,17,he_normal,0.01,binary_crossentropy,3,0.9,"(795, 797, 1)",sigmoid,adam
0.8156800000000001,0.028174,0.8386610000000001,0.017,0.012,275,0.0009,0.08,154,relu,relu,17,glorot_uniform,0.04,binary_crossentropy,3,0.7,"(710, 684, 1)",sigmoid,SGD
